Fecha;Ciudad;Temperatura Máxima (C);Temperatura Mínima (C);Precipitación (mm);Nubosidad (%)
2020/09/11;Madrid;11,55;6,25;0;10
2020/09/12;Madrid;12,35;5,25;0,2;60
2020/09/13;Madrid;12,65;7,15;0;30
2020/09/14;Madrid;15,75;5,85;1,4;80
2020/09/15;Madrid;16,65;8,15;2,6;100
2020/09/16;Madrid;16,35;8,05;0,3;50
2020/09/17;Madrid;20,25;7,15;0,1;20
2020/09/18;Madrid;22,35;8,65;0,1;10
2020/09/19;Madrid;21,35;10,85;0;0
2020/09/20;Madrid;20,25;10,45;0;10
2020/09/21;Madrid;20,85;10,55;0;0
2020/09/22;Madrid;21,95;11,25;0;0
2020/09/23;Madrid;21,45;11,65;0;0
2020/09/24;Madrid;22,65;12,45;0;0
2020/09/25;Madrid;23,35;11,75;0;10
2020/09/26;Madrid;22,45;11,85;0;30
2020/09/27;Madrid;21,45;12,95;0,6;60
2020/09/28;Madrid;17,45;11,25;1,2;90
2020/09/29;Madrid;14,35;8,85;0;50
2020/09/30;Madrid;13,65;6,05;0;10
2020/09/31;Madrid;13,65;6,05;0;10
2020/10/01;Madrid;14,65;6,15;0;0
2020/10/02;Madrid;16,65;5,65;0;0
2020/10/03;Madrid;18,65;9,45;0;0
2020/10/04;Madrid;19,05;9,05;0;10
2020/10/05;Madrid;22,25;9,85;0;30
2020/10/06;Madrid;22,45;11,95;0,2;50
2020/10/07;Madrid;21,75;12,85;0;0
2020/10/08;Madrid;22,45;12,65;0;0
2020/10/09;Madrid;22,45;12,55;0;10
2020/10/10;Madrid;20,95;13,25;0;0
2020/09/11;Sevilla;13.86;7,5;0;20
2020/09/12;Sevilla;14.82;6,3;0,1;70
2020/09/13;Sevilla;15.18;8,58;0;30
2020/09/14;Sevilla;18.9;7,02;0,6;70
2020/09/15;Sevilla;19.98;9,78;1,6;90
2020/09/16;Sevilla;19.62;9,66;0,1;20
2020/09/17;Sevilla;24.3;8,58;0;10
2020/09/18;Sevilla;26.82;10,38;0;0
2020/09/19;Sevilla;25.62;13,02;0;0
2020/09/20;Sevilla;24.3;12,54;0,1;20
2020/09/21;Sevilla;25.02;12,66;0;0
2020/09/22;Sevilla;26.34;13,5;0;0
2020/09/23;Sevilla;25.74;13,98;0;0
2020/09/24;Sevilla;27.18;14,94;0;0
2020/09/25;Sevilla;28.02;14,1;0;20
2020/09/26;Sevilla;26.94;14,22;0,1;30
2020/09/27;Sevilla;25.74;15,54;0,3;70
2020/09/28;Sevilla;20.94;13,5;1;80
2020/09/29;Sevilla;17.22;10,62;0,1;40
2020/09/30;Sevilla;16.38;7,26;0;10
2020/09/31;Sevilla;16.38;7,26;0;0
2020/10/01;Sevilla;17.58;7,38;0;0
2020/10/02;Sevilla;19.98;6,78;0;0
2020/10/03;Sevilla;22.38;11,34;0;10
2020/10/04;Sevilla;22.86;10,86;0;20
2020/10/05;Sevilla;26.7;11,82;0;30
2020/10/06;Sevilla;26.94;14,34;0;20
2020/10/07;Sevilla;26.1;15,42;0;0
2020/10/08;Sevilla;26.94;15,18;0;0
2020/10/09;Sevilla;26.94;15,06;0;10
2020/10/10;Sevilla;25.14;15,9;0;0
2020/09/11;Gijón;9,24;5;0;20
2020/09/12;Gijón;9,88;4,2;1,2;80
2020/09/13;Gijón;10,12;5,72;0;30
2020/09/14;Gijón;12,6;4,68;2,3;100
2020/09/15;Gijón;13,32;6,52;3,2;100
2020/09/16;Gijón;13,08;6,44;0,6;80
2020/09/17;Gijón;16,2;5,72;0,4;40
2020/09/18;Gijón;17,88;6,92;0,2;30
2020/09/19;Gijón;17,08;8,68;0;20
2020/09/20;Gijón;16,2;8,36;0,5;70
2020/09/21;Gijón;16,68;8,44;0;20
2020/09/22;Gijón;17,56;9;0;30
2020/09/23;Gijón;17,16;9,32;0;20
2020/09/24;Gijón;18,12;9,96;0;10
2020/09/25; Gijón;18,68;9,4;0;10
2020/09/26; Gijón;17,96;9,48;0,3;40
2020/09/27; Gijón;17,16;10,36;0,9;70
2020/09/28; Gijón;13,96;9;1,8;100
2020/09/29; Gijón;11,48;7,08;0,6;90
2020/09/30; Gijón;10,92;4,84;0;40
2020/09/31; Gijón;10,92;4,84;0;30
2020/10/01; Gijón;11,72;4,92;0;10
2020/10/02; Gijón;13,32;4,52;0;10
2020/10/03; Gijón;14,92;7,56;0;0
2020/10/04; Gijón;15,24;7,24;0,1;20
2020/10/05; Gijón;17,8;7,88;0,1;40
2020/10/06; Gijón;17,96;9,56;0,6;70
2020/10/07; Gijón;17,4;10,28;0,1;10
2020/10/08; Gijón;17,96;10,12;0;0
2020/10/09; Gijón;17,96;10,04;0,1;30
2020/10/10; Gijón;16,76;10,6;0;0
2020/09/11;Valencia;12,705;6,875;0,3;20  
2020/09/12;Valencia;13,585;5,775;0;20  
2020/09/13;Valencia;13,915;7,865;1,6;60  
2020/09/14;Valencia;17,325;6,435;3;100  
2020/09/15;Valencia;18,315;8,965;0,5;20  
2020/09/16;Valencia;17,985;8,855;0;10  
2020/09/17;Valencia;22,275;7,865;0;0  
2020/09/18;Valencia;24,585;9,515;0;0  
2020/09/19;Valencia;23,485;11,935;0;0  
2020/09/20;Valencia;22,275;11,495;0;0  
2020/09/21;Valencia;22,935;11,605;0;0  
2020/09/22;Valencia;24,145;12,375;0;0  
